threads,size,nb,ib,GFlops
32,1024,32,8,1.5723
32,1024,32,12,1.3363
32,1024,32,16,1.5915
32,1024,36,8,1.8389
32,1024,36,12,1.9279
32,1024,36,16,1.8174
32,1024,40,8,2.081
32,1024,40,12,2.1681
32,1024,40,16,2.1275
32,1024,40,20,2.0243
32,1024,44,8,2.3264
32,1024,44,12,2.3048
32,1024,44,16,2.4777
32,1024,44,20,2.4482
32,1024,48,8,2.7341
32,1024,48,12,2.8002
32,1024,48,16,2.8099
32,1024,48,20,2.7749
32,1024,48,24,2.753
32,1024,52,8,2.9855
32,1024,52,12,3.1925
32,1024,52,16,3.1862
32,1024,52,20,3.1745
32,1024,52,24,3.1045
32,1024,56,8,3.1901
32,1024,56,12,3.1871
32,1024,56,16,3.1831
32,1024,56,20,3.2549
32,1024,56,24,3.1533
32,1024,56,28,3.095
32,1024,60,8,3.3877
32,1024,60,12,3.6032
32,1024,60,16,3.4994
32,1024,60,20,3.6478
32,1024,60,24,3.3983
32,1024,60,28,3.449
32,1024,64,8,4.0401
32,1024,64,12,4.1083
32,1024,64,16,4.0819
32,1024,64,20,4.1003
32,1024,64,24,4.0852
32,1024,64,28,4.077
32,1024,64,32,4.1148
32,1024,68,8,3.9849
32,1024,68,12,4.1384
32,1024,68,16,4.1483
32,1024,68,20,4.147
32,1024,68,24,4.1349
32,1024,68,28,4.1382
32,1024,68,32,4.0922
32,1024,72,8,4.0615
32,1024,72,12,4.2477
32,1024,72,16,4.3174
32,1024,72,20,4.3511
32,1024,72,24,4.3483
32,1024,72,28,4.3543
32,1024,72,32,4.3582
32,1024,72,36,4.3582
32,1024,76,8,4.122
32,1024,76,12,4.2522
32,1024,76,16,4.3968
32,1024,76,20,4.4159
32,1024,76,24,4.4273
32,1024,76,28,4.4721
32,1024,76,32,4.4368
32,1024,76,36,4.4535
32,1024,80,8,4.2109
32,1024,80,12,4.3482
32,1024,80,16,4.503
32,1024,80,20,4.5249
32,1024,80,24,4.5035
32,1024,80,28,4.5493
32,1024,80,32,4.5702
32,1024,80,36,4.5363
32,1024,80,40,4.603
32,1024,84,8,4.1727
32,1024,84,12,4.3721
32,1024,84,16,4.4385
32,1024,84,20,4.4853
32,1024,84,24,4.5114
32,1024,84,28,4.536
32,1024,84,32,4.5333
32,1024,84,36,4.5369
32,1024,84,40,4.5274
32,1024,88,8,4.2615
32,1024,88,12,4.4088
32,1024,88,16,4.5518
32,1024,88,20,4.5451
32,1024,88,24,4.5986
32,1024,88,28,4.5758
32,1024,88,32,4.6494
32,1024,88,36,4.6009
32,1024,88,40,4.5845
32,1024,88,44,4.6558
32,1024,92,8,4.2279
32,1024,92,12,4.4058
32,1024,92,16,4.4757
32,1024,92,20,4.5148
32,1024,92,24,4.5814
32,1024,92,28,4.5503
32,1024,92,32,4.6235
32,1024,92,36,4.5916
32,1024,92,40,4.5777
32,1024,92,44,4.5378
32,1024,96,8,4.3079
32,1024,96,12,4.4897
32,1024,96,16,4.5967
32,1024,96,20,4.6166
32,1024,96,24,4.6868
32,1024,96,28,4.6398
32,1024,96,32,4.7042
32,1024,96,36,4.6922
32,1024,96,40,4.6868
32,1024,96,44,4.6475
32,1024,96,48,4.6909
32,1024,100,8,4.2873
32,1024,100,12,4.4115
32,1024,100,16,4.5587
32,1024,100,20,4.5982
32,1024,100,24,4.6229
32,1024,100,28,4.6298
32,1024,100,32,4.6261
32,1024,100,36,4.6281
32,1024,100,40,4.6533
32,1024,100,44,4.6323
32,1024,100,48,4.6053
32,1024,104,8,4.3666
32,1024,104,12,4.4864
32,1024,104,16,4.5984
32,1024,104,20,4.6358
32,1024,104,24,4.685
32,1024,104,28,4.6979
32,1024,104,32,4.7006
32,1024,104,36,4.7127
32,1024,104,40,4.7428
32,1024,104,44,4.7201
32,1024,104,48,4.7078
32,1024,104,52,4.694
32,1024,108,8,4.3192
32,1024,108,12,4.487
32,1024,108,16,4.6278
32,1024,108,20,4.6319
32,1024,108,24,4.6053
32,1024,108,28,4.7168
32,1024,108,32,4.6987
32,1024,108,36,4.7038
32,1024,108,40,4.6935
32,1024,108,44,4.6529
32,1024,108,48,4.6131
32,1024,108,52,4.6352
32,1024,112,8,4.3097
32,1024,112,12,4.4588
32,1024,112,16,4.6068
32,1024,112,20,4.6566
32,1024,112,24,4.677
32,1024,112,28,4.7013
32,1024,112,32,4.7117
32,1024,112,36,4.6712
32,1024,112,40,4.7085
32,1024,112,44,4.6758
32,1024,112,48,4.7048
32,1024,112,52,4.6503
32,1024,112,56,4.6817
32,1024,116,8,4.3544
32,1024,116,12,4.5139
32,1024,116,16,4.6611
32,1024,116,20,4.6713
32,1024,116,24,4.7133
32,1024,116,28,4.6983
32,1024,116,32,4.7339
32,1024,116,36,4.6673
32,1024,116,40,4.7666
32,1024,116,44,4.7467
32,1024,116,48,4.7249
32,1024,116,52,4.7088
32,1024,116,56,4.6764
32,1024,120,8,4.3385
32,1024,120,12,4.5316
32,1024,120,16,4.5968
32,1024,120,20,4.6618
32,1024,120,24,4.7448
32,1024,120,28,4.6964
32,1024,120,32,4.7543
32,1024,120,36,4.7282
32,1024,120,40,4.7671
32,1024,120,44,4.7449
32,1024,120,48,4.7301
32,1024,120,52,4.6539
32,1024,120,56,4.6946
32,1024,120,60,4.7208
32,1024,124,8,4.31
32,1024,124,12,4.4741
32,1024,124,16,4.5756
32,1024,124,20,4.5901
32,1024,124,24,4.6618
32,1024,124,28,4.6171
32,1024,124,32,4.7335
32,1024,124,36,4.7113
32,1024,124,40,4.6958
32,1024,124,44,4.7232
32,1024,124,48,4.7171
32,1024,124,52,4.6961
32,1024,124,56,4.6596
32,1024,124,60,4.6435
32,1024,128,8,4.3555
32,1024,128,12,4.5304
32,1024,128,16,4.6674
32,1024,128,20,4.6485
32,1024,128,24,4.7015
32,1024,128,28,4.7161
32,1024,128,32,4.7525
32,1024,128,36,4.7667
32,1024,128,40,4.7332
32,1024,128,44,4.7535
32,1024,128,48,4.752
32,1024,128,52,4.7359
32,1024,128,56,4.7334
32,1024,128,60,4.7081
32,1024,128,64,4.7394
32,1024,132,8,4.345
32,1024,132,12,4.5538
32,1024,132,16,4.6384
32,1024,132,20,4.7178
32,1024,132,24,4.7173
32,1024,132,28,4.7794
32,1024,132,32,4.7561
32,1024,132,36,4.765
32,1024,132,40,4.7749
32,1024,132,44,4.7728
32,1024,132,48,4.7722
32,1024,132,52,4.7376
32,1024,132,56,4.7603
32,1024,132,60,4.7496
32,1024,132,64,4.6947
32,1024,136,8,4.3529
32,1024,136,12,4.5481
32,1024,136,16,4.6861
32,1024,136,20,4.5999
32,1024,136,24,4.7369
32,1024,136,28,4.758
32,1024,136,32,4.7371
32,1024,136,36,4.761
32,1024,136,40,4.7693
32,1024,136,44,4.742
32,1024,136,48,4.7625
32,1024,136,52,4.7734
32,1024,136,56,4.7441
32,1024,136,60,4.6883
32,1024,136,64,4.6977
32,1024,136,68,4.7185
32,1024,140,8,4.3086
32,1024,140,12,4.5047
32,1024,140,16,4.631
32,1024,140,20,4.6547
32,1024,140,24,4.6921
32,1024,140,28,4.728
32,1024,140,32,4.7114
32,1024,140,36,4.7551
32,1024,140,40,4.7263
32,1024,140,44,4.712
32,1024,140,48,4.773
32,1024,140,52,4.7288
32,1024,140,56,4.7477
32,1024,140,60,4.7158
32,1024,140,64,4.6959
32,1024,140,68,4.6399
32,1024,144,8,4.2956
32,1024,144,12,4.4937
32,1024,144,16,4.6381
32,1024,144,20,4.6476
32,1024,144,24,4.6893
32,1024,144,28,4.6962
32,1024,144,32,4.7299
32,1024,144,36,4.7266
32,1024,144,40,4.7523
32,1024,144,44,4.7251
32,1024,144,48,4.7334
32,1024,144,52,4.7506
32,1024,144,56,4.7413
32,1024,144,60,4.7137
32,1024,144,64,4.7118
32,1024,144,68,4.6694
32,1024,144,72,4.6876
32,1024,148,8,4.3797
32,1024,148,12,4.5268
32,1024,148,16,4.6559
32,1024,148,20,4.6826
32,1024,148,24,4.74
32,1024,148,28,4.7587
32,1024,148,32,4.8054
32,1024,148,36,4.7714
32,1024,148,40,4.8136
32,1024,148,44,4.7792
32,1024,148,48,4.7691
32,1024,148,52,4.775
32,1024,148,56,4.7992
32,1024,148,60,4.7183
32,1024,148,64,4.7491
32,1024,148,68,4.7154
32,1024,148,72,4.6976
32,1024,152,8,4.3859
32,1024,152,12,4.5423
32,1024,152,16,4.6369
32,1024,152,20,4.7143
32,1024,152,24,4.7685
32,1024,152,28,4.752
32,1024,152,32,4.7993
32,1024,152,36,4.7828
32,1024,152,40,4.8186
32,1024,152,44,4.7998
32,1024,152,48,4.7836
32,1024,152,52,4.7819
32,1024,152,56,4.7924
32,1024,152,60,4.7614
32,1024,152,64,4.7687
32,1024,152,68,4.7464
32,1024,152,72,4.7274
32,1024,152,76,4.717
32,1024,156,8,4.3683
32,1024,156,12,4.5207
32,1024,156,16,4.618
32,1024,156,20,4.6867
32,1024,156,24,4.7133
32,1024,156,28,4.716
32,1024,156,32,4.7687
32,1024,156,36,4.7287
32,1024,156,40,4.7561
32,1024,156,44,4.7294
32,1024,156,48,4.7468
32,1024,156,52,4.7529
32,1024,156,56,4.7511
32,1024,156,60,4.7301
32,1024,156,64,4.7379
32,1024,156,68,4.721
32,1024,156,72,4.6703
32,1024,156,76,4.6823
32,1024,160,8,4.3056
32,1024,160,12,4.5142
32,1024,160,16,4.6395
32,1024,160,20,4.6701
32,1024,160,24,4.5995
32,1024,160,28,4.7169
32,1024,160,32,4.753
32,1024,160,36,4.7221
32,1024,160,40,4.7669
