threads,size,nb,ib,GFlops
4,4096,32,8,22.6392
4,4096,32,12,25.1969
4,4096,32,16,29.6347
4,4096,36,8,23.1579
4,4096,36,12,28.5189
4,4096,36,16,29.3804
4,4096,40,8,27.2377
4,4096,40,12,29.8864
4,4096,40,16,34.1584
4,4096,40,20,38.5627
4,4096,44,8,27.5308
4,4096,44,12,32.5019
4,4096,44,16,36.1958
4,4096,44,20,36.6996
4,4096,48,8,31.8276
4,4096,48,12,36.9331
4,4096,48,16,41.8527
4,4096,48,20,41.744
4,4096,48,24,45.231
4,4096,52,8,31.8962
4,4096,52,12,36.5416
4,4096,52,16,40.7065
4,4096,52,20,43.4565
4,4096,52,24,42.4231
4,4096,56,8,35.2706
4,4096,56,12,40.0899
4,4096,56,16,44.3094
4,4096,56,20,48.1871
4,4096,56,24,46.8913
4,4096,56,28,50.4345
4,4096,60,8,34.9221
4,4096,60,12,42.2244
4,4096,60,16,45.5429
4,4096,60,20,49.5177
4,4096,60,24,48.1799
4,4096,60,28,47.3984
4,4096,64,8,38.698
4,4096,64,12,43.1224
4,4096,64,16,50.715
4,4096,64,20,50.5185
4,4096,64,24,53.4533
4,4096,64,28,52.1734
4,4096,64,32,58.3415
4,4096,68,8,38.1814
4,4096,68,12,44.936
4,4096,68,16,49.2998
4,4096,68,20,51.752
4,4096,68,24,53.7421
4,4096,68,28,52.8147
4,4096,68,32,53.4516
4,4096,72,8,41.5864
4,4096,72,12,47.314
4,4096,72,16,52.6239
4,4096,72,20,55.1998
4,4096,72,24,58.3884
4,4096,72,28,56.7411
4,4096,72,32,57.7608
4,4096,72,36,61.3775
4,4096,76,8,40.8068
4,4096,76,12,46.5106
4,4096,76,16,54.2907
4,4096,76,20,56.2222
4,4096,76,24,53.4447
4,4096,76,28,58.0528
4,4096,76,32,58.1732
4,4096,76,36,58.3196
4,4096,80,8,43.9243
4,4096,80,12,48.5188
4,4096,80,16,55.6471
4,4096,80,20,58.2422
4,4096,80,24,56.7165
4,4096,80,28,61.6438
4,4096,80,32,62.7369
4,4096,80,36,60.8754
4,4096,80,40,65.11
4,4096,84,8,43.3913
4,4096,84,12,49.055
4,4096,84,16,54.4953
4,4096,84,20,56.882
4,4096,84,24,58.9125
4,4096,84,28,61.7777
4,4096,84,32,62.3177
4,4096,84,36,62.3058
4,4096,84,40,62.43
4,4096,88,8,44.5787
4,4096,88,12,50.9
4,4096,88,16,56.9931
4,4096,88,20,61.3404
4,4096,88,24,62.6699
4,4096,88,28,61.2202
4,4096,88,32,66.2712
4,4096,88,36,66.807
4,4096,88,40,66.4009
4,4096,88,44,68.9532
4,4096,92,8,44.5749
4,4096,92,12,52.1723
4,4096,92,16,59.1737
4,4096,92,20,61.0817
4,4096,92,24,62.6787
4,4096,92,28,62.6072
4,4096,92,32,66.3795
4,4096,92,36,65.9614
4,4096,92,40,65.6842
4,4096,92,44,64.6774
4,4096,96,8,46.9982
4,4096,96,12,54.5758
4,4096,96,16,63.5145
4,4096,96,20,65.4853
4,4096,96,24,66.9451
4,4096,96,28,65.1279
4,4096,96,32,70.535
4,4096,96,36,70.0509
4,4096,96,40,70.4229
4,4096,96,44,68.4556
4,4096,96,48,73.9849
4,4096,100,8,46.7617
4,4096,100,12,53.6291
4,4096,100,16,61.2966
4,4096,100,20,66.9043
4,4096,100,24,63.1967
4,4096,100,28,66.7334
4,4096,100,32,68.5113
4,4096,100,36,70.744
4,4096,100,40,70.8943
4,4096,100,44,69.8402
4,4096,100,48,69.7132
4,4096,104,8,47.8752
4,4096,104,12,55.4049
4,4096,104,16,63.7964
4,4096,104,20,65.3039
4,4096,104,24,65.8253
4,4096,104,28,68.3429
4,4096,104,32,70.7534
4,4096,104,36,73.8486
4,4096,104,40,72.8002
4,4096,104,44,72.3683
4,4096,104,48,73.0541
4,4096,104,52,76.498
4,4096,108,8,47.38
4,4096,108,12,56.5826
4,4096,108,16,63.3353
4,4096,108,20,66.2977
4,4096,108,24,66.5681
4,4096,108,28,68.3167
4,4096,108,32,71.014
4,4096,108,36,73.2977
4,4096,108,40,72.7263
4,4096,108,44,72.7744
4,4096,108,48,71.6743
4,4096,108,52,71.4909
4,4096,112,8,48.8041
4,4096,112,12,55.2247
4,4096,112,16,65.1501
4,4096,112,20,67.5765
4,4096,112,24,69.7208
4,4096,112,28,71.5828
4,4096,112,32,73.301
4,4096,112,36,72.3406
4,4096,112,40,75.3394
4,4096,112,44,75.3127
4,4096,112,48,76.8723
4,4096,112,52,75.1031
4,4096,112,56,79.3217
4,4096,116,8,48.649
4,4096,116,12,56.0291
4,4096,116,16,63.0374
4,4096,116,20,68.9822
4,4096,116,24,69.8044
4,4096,116,28,68.5435
4,4096,116,32,73.6172
4,4096,116,36,72.3705
4,4096,116,40,75.023
4,4096,116,44,73.8008
4,4096,116,48,75.0044
4,4096,116,52,74.0713
4,4096,116,56,73.4702
4,4096,120,8,50.444
4,4096,120,12,58.7139
4,4096,120,16,65.5286
4,4096,120,20,71.9445
4,4096,120,24,73.0363
4,4096,120,28,71.108
4,4096,120,32,74.5778
4,4096,120,36,75.7282
4,4096,120,40,79.7235
4,4096,120,44,79.1416
4,4096,120,48,79.4626
4,4096,120,52,78.7142
4,4096,120,56,77.8932
4,4096,120,60,80.056
4,4096,124,8,48.938
4,4096,124,12,56.5384
4,4096,124,16,66.6507
4,4096,124,20,67.8182
4,4096,124,24,69.1055
4,4096,124,28,69.9468
4,4096,124,32,76.0955
4,4096,124,36,74.8177
4,4096,124,40,74.9078
4,4096,124,44,77.6249
4,4096,124,48,78.1873
4,4096,124,52,76.9209
4,4096,124,56,76.7239
4,4096,124,60,74.9929
4,4096,128,8,49.6465
4,4096,128,12,57.4823
4,4096,128,16,66.7194
4,4096,128,20,68.221
4,4096,128,24,71.2497
4,4096,128,28,73.7087
4,4096,128,32,79.517
4,4096,128,36,77.9628
4,4096,128,40,77.12
4,4096,128,44,80.2536
4,4096,128,48,82.1652
4,4096,128,52,81.0342
4,4096,128,56,80.854
4,4096,128,60,78.9602
4,4096,128,64,83.5876
4,4096,132,8,50.1607
4,4096,132,12,59.752
4,4096,132,16,66.2831
4,4096,132,20,70.5129
4,4096,132,24,71.7834
4,4096,132,28,72.8159
4,4096,132,32,75.6004
4,4096,132,36,78.1148
4,4096,132,40,77.1012
4,4096,132,44,80.2365
4,4096,132,48,80.8679
4,4096,132,52,79.4381
4,4096,132,56,79.4865
4,4096,132,60,78.2029
4,4096,132,64,77.9949
4,4096,136,8,52.3547
4,4096,136,12,59.4653
4,4096,136,16,68.1645
4,4096,136,20,72.7921
4,4096,136,24,75.3815
4,4096,136,28,76.9113
4,4096,136,32,79.1041
4,4096,136,36,80.3814
4,4096,136,40,80.8173
4,4096,136,44,78.8043
4,4096,136,48,83.7749
4,4096,136,52,83.3228
4,4096,136,56,82.6966
4,4096,136,60,81.8857
4,4096,136,64,80.7919
4,4096,136,68,84.2592
4,4096,140,8,51.1915
4,4096,140,12,59.9069
4,4096,140,16,66.8109
4,4096,140,20,73.1728
4,4096,140,24,74.1274
4,4096,140,28,75.0705
4,4096,140,32,77.8618
4,4096,140,36,79.3254
4,4096,140,40,79.4923
4,4096,140,44,78.5318
4,4096,140,48,82.739
4,4096,140,52,81.5106
4,4096,140,56,80.1911
4,4096,140,60,80.7591
4,4096,140,64,80.3376
4,4096,140,68,79.4633
4,4096,144,8,52.1004
4,4096,144,12,61.1406
4,4096,144,16,71.756
4,4096,144,20,72.2609
4,4096,144,24,77.6277
4,4096,144,28,76.1729
4,4096,144,32,82.2354
4,4096,144,36,83.7012
4,4096,144,40,83.4735
4,4096,144,44,81.6428
4,4096,144,48,87.5135
4,4096,144,52,86.546
4,4096,144,56,85.6707
4,4096,144,60,84.9927
4,4096,144,64,85.5208
4,4096,144,68,83.8185
4,4096,144,72,87.6486
4,4096,148,8,50.8957
4,4096,148,12,59.6037
4,4096,148,16,68.8821
4,4096,148,20,72.6529
4,4096,148,24,73.8999
4,4096,148,28,75.7453
4,4096,148,32,82.0482
4,4096,148,36,79.4685
4,4096,148,40,82.0457
4,4096,148,44,82.0058
4,4096,148,48,83.2944
4,4096,148,52,85.5912
4,4096,148,56,85.3661
4,4096,148,60,83.1017
4,4096,148,64,83.848
4,4096,148,68,82.0937
4,4096,148,72,82.2297
4,4096,152,8,52.6058
4,4096,152,12,61.9406
4,4096,152,16,71.2277
4,4096,152,20,75.2387
4,4096,152,24,75.9544
4,4096,152,28,77.6594
4,4096,152,32,84.1476
4,4096,152,36,82.9111
4,4096,152,40,86.6135
4,4096,152,44,85.1852
4,4096,152,48,86.3092
4,4096,152,52,88.1464
4,4096,152,56,88.3264
4,4096,152,60,86.7575
4,4096,152,64,86.6992
4,4096,152,68,86.7418
4,4096,152,72,85.7659
4,4096,152,76,88.6053
4,4096,156,8,51.9543
4,4096,156,12,61.4856
4,4096,156,16,70.373
4,4096,156,20,75.2038
4,4096,156,24,76.3045
4,4096,156,28,77.7614
4,4096,156,32,83.0687
4,4096,156,36,81.2883
4,4096,156,40,84.6647
4,4096,156,44,83.8651
4,4096,156,48,83.9174
4,4096,156,52,86.6478
4,4096,156,56,86.1096
4,4096,156,60,85.4515
4,4096,156,64,84.4608
4,4096,156,68,84.0615
4,4096,156,72,83.4895
4,4096,156,76,82.1001
4,4096,160,8,53.1974
4,4096,160,12,61.8489
4,4096,160,16,72.0787
4,4096,160,20,77.2251
4,4096,160,24,79.2189
4,4096,160,28,80.4253
4,4096,160,32,85.7754
4,4096,160,36,84.056
4,4096,160,40,87.8337
4,4096,160,44,86.0514
4,4096,160,48,87.5129
4,4096,160,52,85.6961
4,4096,160,56,88.3883
4,4096,160,60,87.725
4,4096,160,64,88.8998
4,4096,160,68,87.719
4,4096,160,72,87.2459
4,4096,160,76,85.2573
4,4096,160,80,89.8122
4,4096,164,8,52.62
4,4096,164,12,62.8204
4,4096,164,16,70.6182
4,4096,164,20,75.0131
4,4096,164,24,79.3647
4,4096,164,28,80.8394
4,4096,164,32,83.0509
4,4096,164,36,84.57
4,4096,164,40,84.1636
4,4096,164,44,87.0447
4,4096,164,48,87.1612
4,4096,164,52,85.9176
4,4096,164,56,89.1677
4,4096,164,60,87.4939
4,4096,164,64,88.3266
4,4096,164,68,87.3762
4,4096,164,72,87.1498
4,4096,164,76,85.7401
4,4096,164,80,85.4999
4,4096,168,8,53.0378
4,4096,168,12,63.434
4,4096,168,16,70.2187
4,4096,168,20,76.1736
4,4096,168,24,80.7859
4,4096,168,28,81.1772
4,4096,168,32,84.6916
4,4096,168,36,86.2382
4,4096,168,40,86.37
4,4096,168,44,88.3437
4,4096,168,48,88.5453
4,4096,168,52,87.3558
4,4096,168,56,91.3278
4,4096,168,60,90.7087
4,4096,168,64,90.6034
4,4096,168,68,89.5162
4,4096,168,72,89.1548
4,4096,168,76,87.6994
4,4096,168,80,87.352
4,4096,168,84,90.4427
4,4096,172,8,50.8066
4,4096,172,12,60.9594
4,4096,172,16,70.5911
4,4096,172,20,74.7694
4,4096,172,24,76.3932
4,4096,172,28,77.5946
4,4096,172,32,83.7376
4,4096,172,36,85.549
4,4096,172,40,85.1519
4,4096,172,44,87.3158
4,4096,172,48,88.2439
4,4096,172,52,87.2365
4,4096,172,56,86.6438
4,4096,172,60,88.4792
4,4096,172,64,89.6245
4,4096,172,68,89.0743
4,4096,172,72,86.8845
4,4096,172,76,87.006
4,4096,172,80,87.0272
4,4096,172,84,85.8395
4,4096,176,8,53.2672
4,4096,176,12,62.891
4,4096,176,16,74.0625
4,4096,176,20,78.2597
4,4096,176,24,78.7465
4,4096,176,28,80.2555
4,4096,176,32,86.4574
4,4096,176,36,87.9866
4,4096,176,40,88.6753
4,4096,176,44,89.9142
4,4096,176,48,91.73
4,4096,176,52,89.9506
4,4096,176,56,89.3725
4,4096,176,60,92.0836
4,4096,176,64,92.3994
4,4096,176,68,90.6288
4,4096,176,72,90.6537
4,4096,176,76,89.7401
4,4096,176,80,90.2266
4,4096,176,84,88.05
4,4096,176,88,91.2175
4,4096,180,8,52.9212
4,4096,180,12,63.4072
4,4096,180,16,72.3014
4,4096,180,20,78.5835
4,4096,180,24,79.3567
4,4096,180,28,81.5122
4,4096,180,32,86.3388
4,4096,180,36,88.0229
4,4096,180,40,87.3584
4,4096,180,44,86.4808
4,4096,180,48,91.4489
4,4096,180,52,90.0881
